source_account_prefix,source_account_code_example,source_account_name_example,source_type,naturaleza_contec,clase_contec,sub_clase_contec,observed_nonzero,observed_amount_abs,base_classification,proposed_reporting_account,normal_balance,confidence,reason,manual_review_required,mapping_status,evidence_source
6.11,,Gastos de personal (sueldos otras cuentas),ERI,GASTOS DE ADM. Y VENTAS,GASTOS DE PERSONAL,,YES,UNKNOWN,ERI,GOPEX,debit,HIGH,"AC-04 §3.3 confirma 'GASTOS DE PERSONAL' como clase; 6.11.xx familia completa → GOPEX",NO,NEEDS_EXACT_CODE,AC04_OBSERVED
6.12,,Viajes y representación,ERI,GASTOS DE ADM. Y VENTAS,GASTOS DE GESTION,,UNKNOWN,UNKNOWN,ERI,GOPEX,debit,HIGH,"6.12.xx = gastos de viaje; GOPEX",NO,NEEDS_EXACT_CODE,LEVEL1_CLASSIFIER
6.13,,Arriendo y utilities,ERI,GASTOS DE ADM. Y VENTAS,GASTOS DE GESTION,,UNKNOWN,UNKNOWN,ERI,GOPEX,debit,HIGH,"6.13.xx = arriendos; AC-04 §3.3 confirma 'arriendos' en GASTOS ADM",NO,NEEDS_EXACT_CODE,AC04_OBSERVED
6.14,,Sistemas y tecnología,ERI,GASTOS DE ADM. Y VENTAS,GASTOS DE GESTION,,UNKNOWN,UNKNOWN,ERI,GOPEX,debit,HIGH,"6.14.xx = sistemas; AC-04 §3.3 confirma 'sistemas' en GASTOS ADM",NO,NEEDS_EXACT_CODE,AC04_OBSERVED
6.15,,Honorarios y servicios profesionales,ERI,GASTOS DE ADM. Y VENTAS,GASTOS DE GESTION,,UNKNOWN,UNKNOWN,ERI,GOPEX,debit,HIGH,"6.15.xx = honorarios; GOPEX",NO,NEEDS_EXACT_CODE,LEVEL1_CLASSIFIER
6.16,,Depreciación y amortización (operacional),ERI,GASTOS DE ADM. Y VENTAS,GASTOS DE GESTION,,UNKNOWN,UNKNOWN,ERI,GOPEX,debit,HIGH,"6.16.xx = D&A operacional; GOPEX",NO,NEEDS_EXACT_CODE,LEVEL1_CLASSIFIER
6.99,,Otros gastos admin y ventas,ERI,GASTOS DE ADM. Y VENTAS,GASTOS DE GESTION,,UNKNOWN,UNKNOWN,ERI,GOPEX,debit,MEDIUM,"6.99.xx = catch-all gastos; revisar",YES,NEEDS_EXACT_CODE,LEVEL1_CLASSIFIER
# ============================================================
# TIER 9: EGRESOS NO OPERACIONALES (7.xx / 8.xx) — ERI → FIN
# AC-04 §3.3 confirma: EGRESOS NO OPERACIONALES incluye:
#   intereses, diferencia de cambio, amortización derecho de uso, resultado inversiones método patrimonio
# ============================================================
7.01,,Ingresos financieros (intereses ganados),ERI,EGRESOS NO OPERACIONALES,EGRESOS FINANCIEROS,,UNKNOWN,UNKNOWN,ERI,FIN,credit,HIGH,"7.01.xx = intereses ganados; FIN (ingreso)",NO,NEEDS_EXACT_CODE,LEVEL1_CLASSIFIER
7.02,,Diferencia de cambio favorable,ERI,EGRESOS NO OPERACIONALES,DIFERENCIA DE CAMBIO,,YES,UNKNOWN,ERI,FIN,credit,HIGH,"AC-04 §3.3 confirma 'diferencia de cambio' en EGRESOS NO OP; favorable → FIN credit",NO,NEEDS_EXACT_CODE,AC04_OBSERVED
7.03,,Resultado inversiones método patrimonio (Allpa — ingreso),ERI,EGRESOS NO OPERACIONALES,RESULTADO INVERSIONES,,UNKNOWN,UNKNOWN,ERI,FIN,credit,HIGH,"AC-04 §3.3 confirma 'resultado inversiones (método patrimonio)'; ALF tiene posición en Allpa Peru",YES,NEEDS_EXACT_CODE,AC04_OBSERVED
8.01,,Gastos financieros (intereses pagados),ERI,EGRESOS NO OPERACIONALES,EGRESOS FINANCIEROS,,UNKNOWN,UNKNOWN,ERI,FIN,debit,HIGH,"AC-04 §3.3 confirma 'intereses' en EGRESOS NO OP; FIN (gasto)",NO,NEEDS_EXACT_CODE,AC04_OBSERVED
8.02,,Diferencia de cambio desfavorable,ERI,EGRESOS NO OPERACIONALES,DIFERENCIA DE CAMBIO,,YES,UNKNOWN,ERI,FIN,debit,HIGH,"AC-04 §3.3 confirma 'diferencia de cambio'; desfavorable → FIN debit",NO,NEEDS_EXACT_CODE,AC04_OBSERVED
8.03,,Amortización derecho de uso (IFRS 16),ERI,EGRESOS NO OPERACIONALES,EGRESOS FINANCIEROS,,YES,UNKNOWN,ERI,FIN,debit,MEDIUM,"AC-04 §3.3 OBSERVADO: 'amortización derecho de uso' en EGRESOS NO OP. Nota: puede ser GOPEX si es amortización operacional; requiere revisión",YES,NEEDS_EXACT_CODE,AC04_OBSERVED
8.04,,Resultado inversiones método patrimonio (Allpa — pérdida),ERI,EGRESOS NO OPERACIONALES,RESULTADO INVERSIONES,,UNKNOWN,UNKNOWN,ERI,FIN,debit,MEDIUM,"8.04.xx = pérdida participación Allpa; FIN debit",YES,NEEDS_EXACT_CODE,LEVEL1_CLASSIFIER
8.09,,Otros egresos no operacionales,ERI,EGRESOS NO OPERACIONALES,,,UNKNOWN,UNKNOWN,ERI,FIN,debit,MEDIUM,"8.09.xx = catch-all; revisar uno a uno",YES,NEEDS_EXACT_CODE,LEVEL1_CLASSIFIER
# ============================================================
# TIER 10: IMPUESTO A LA RENTA (9.xx) — ERI → IMP
# ============================================================
9.01,,Impuesto a la renta corriente,ERI,EGRESOS NO OPERACIONALES,IMPUESTO A LA RENTA,,YES,UNKNOWN,ERI,IMP,debit,HIGH,"AC-04 §3.3 OBSERVADO: 'Impuesto renta' en EGRESOS NO OP; → IMP",NO,NEEDS_EXACT_CODE,AC04_OBSERVED
9.02,,Impuesto diferido (activo/pasivo),ERI,EGRESOS NO OPERACIONALES,IMPUESTO A LA RENTA,,UNKNOWN,UNKNOWN,ERI,IMP,debit,MEDIUM,"9.02.xx = impuesto diferido; IMP; puede ser deudor o acreedor",YES,NEEDS_EXACT_CODE,LEVEL1_CLASSIFIER
